
Тестовые данные: salePrice
min = 100 , max = None
Результат по фильтру: WILDBERRIES
1 salePrice = 4500.0
2 salePrice = 6200.0
3 salePrice = 25200.0
4 salePrice = 4500.0
5 salePrice = 3100.0
6 salePrice = 5600.0
7 salePrice = 6200.0
8 salePrice = 4350.0
9 salePrice = 3370.0
10 salePrice = 8630.0
11 salePrice = 21780.0
12 salePrice = 2000.0
13 salePrice = 9000.0
14 salePrice = 3100.0
15 salePrice = 4030.0
16 salePrice = 2550.0
17 salePrice = 4500.0
18 salePrice = 6030.0
19 salePrice = 1850.0
20 salePrice = 4350.0
21 salePrice = 1329.0
22 salePrice = 6200.0
23 salePrice = 2610.0
24 salePrice = 1800.0
25 salePrice = 12950.0
