"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 28 06:34:13 GMT 2022","Wed Sep 28 06:34:13 GMT 2022","244","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Wed Sep 28 06:34:07 GMT 2022","Wed Sep 28 06:34:08 GMT 2022","880","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Wed Sep 28 06:34:11 GMT 2022","Wed Sep 28 06:34:12 GMT 2022","850","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Wed Sep 28 06:34:14 GMT 2022","Wed Sep 28 06:34:15 GMT 2022","861","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Wed Sep 28 06:33:51 GMT 2022","Wed Sep 28 06:33:52 GMT 2022","875","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:34:04 GMT 2022","Wed Sep 28 06:34:05 GMT 2022","868","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:10 GMT 2022","Wed Sep 28 06:34:11 GMT 2022","875","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Wed Sep 28 06:34:09 GMT 2022","Wed Sep 28 06:34:09 GMT 2022","857","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Wed Sep 28 06:34:02 GMT 2022","Wed Sep 28 06:34:03 GMT 2022","858","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:33:59 GMT 2022","Wed Sep 28 06:34:00 GMT 2022","904","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:03 GMT 2022","Wed Sep 28 06:34:04 GMT 2022","874","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:00 GMT 2022","Wed Sep 28 06:34:01 GMT 2022","938","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:18 GMT 2022","Wed Sep 28 06:34:19 GMT 2022","900","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Wed Sep 28 06:33:50 GMT 2022","Wed Sep 28 06:33:50 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:33:50 GMT 2022","Wed Sep 28 06:33:51 GMT 2022","868","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:33:53 GMT 2022","Wed Sep 28 06:33:54 GMT 2022","896","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:33:55 GMT 2022","Wed Sep 28 06:33:56 GMT 2022","892","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:33:50 GMT 2022","Wed Sep 28 06:33:50 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:34:19 GMT 2022","Wed Sep 28 06:34:20 GMT 2022","865","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Wed Sep 28 06:33:57 GMT 2022","Wed Sep 28 06:33:58 GMT 2022","865","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:09 GMT 2022","Wed Sep 28 06:34:10 GMT 2022","908","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Wed Sep 28 06:34:13 GMT 2022","Wed Sep 28 06:34:14 GMT 2022","867","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Wed Sep 28 06:33:54 GMT 2022","Wed Sep 28 06:33:54 GMT 2022","864","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:33:54 GMT 2022","Wed Sep 28 06:33:55 GMT 2022","887","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:33:58 GMT 2022","Wed Sep 28 06:33:59 GMT 2022","868","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:33:52 GMT 2022","Wed Sep 28 06:33:53 GMT 2022","854","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:34:02 GMT 2022","Wed Sep 28 06:34:02 GMT 2022","872","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:15 GMT 2022","Wed Sep 28 06:34:16 GMT 2022","901","test_function.test_filters","test_4_filters_brand","","","","Brand",""
"broken","Wed Sep 28 06:33:50 GMT 2022","Wed Sep 28 06:33:50 GMT 2022","0","test_function.test_filters","test_1_filters_price","","","","Sale price",""
"broken","Wed Sep 28 06:34:06 GMT 2022","Wed Sep 28 06:34:07 GMT 2022","866","test_function.test_filters","test_3_filters_image","","","","Images",""
"broken","Wed Sep 28 06:34:17 GMT 2022","Wed Sep 28 06:34:18 GMT 2022","851","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Wed Sep 28 06:33:56 GMT 2022","Wed Sep 28 06:33:57 GMT 2022","868","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:16 GMT 2022","Wed Sep 28 06:34:17 GMT 2022","860","test_function.test_filters","test_5_filters_category","","","","Brand",""
"broken","Wed Sep 28 06:34:01 GMT 2022","Wed Sep 28 06:34:02 GMT 2022","900","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:12 GMT 2022","Wed Sep 28 06:34:13 GMT 2022","902","test_function.test_filters","test_3_filters_image","","","","Image",""
"broken","Wed Sep 28 06:34:05 GMT 2022","Wed Sep 28 06:34:06 GMT 2022","859","test_function.test_filters","test_2_filters_stock","","","","Stock",""
"broken","Wed Sep 28 06:34:08 GMT 2022","Wed Sep 28 06:34:09 GMT 2022","879","test_function.test_filters","test_3_filters_image","","","","Images",""
